king_wen,binary_l1_to_l6,line,edge,modality,valence,commit_direction,terminal_sign,earlier_sign,later_sign
1,111111,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
1,111111,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
1,111111,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
1,111111,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
1,111111,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
1,111111,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
2,000000,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
2,000000,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
2,000000,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
2,000000,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
2,000000,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
2,000000,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
3,100010,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
3,100010,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
3,100010,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
3,100010,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
3,100010,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
3,100010,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
4,010001,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
4,010001,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
4,010001,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
4,010001,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
4,010001,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
4,010001,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
5,111010,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
5,111010,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
5,111010,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
5,111010,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
5,111010,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
5,111010,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
6,010111,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
6,010111,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
6,010111,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
6,010111,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
6,010111,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
